"id" "cell"
"cg12593411" "cg12593411" "Bcells"
"cg01869288" "cg01869288" "Bcells"
"cg05891759" "cg05891759" "Bcells"
"cg08255481" "cg08255481" "Bcells"
"cg17254229" "cg17254229" "Bcells"
"cg11375112" "cg11375112" "Bcells"
"cg08763102" "cg08763102" "Bcells"
"cg01951963" "cg01951963" "Bcells"
"cg17622855" "cg17622855" "Bcells"
"cg11699517" "cg11699517" "Bcells"
"cg04012600" "cg04012600" "Bcells"
"cg02003183" "cg02003183" "Bcells"
"cg08939052" "cg08939052" "Bcells"
"cg24710951" "cg24710951" "Bcells"
"cg09437994" "cg09437994" "Bcells"
"cg22153994" "cg22153994" "Bcells"
"cg24137448" "cg24137448" "Bcells"
"cg22340370" "cg22340370" "Bcells"
"cg22984894" "cg22984894" "Bcells"
"cg00183239" "cg00183239" "Bcells"
"cg25817701" "cg25817701" "Bcells"
"cg24726137" "cg24726137" "Bcells"
"cg25298754" "cg25298754" "Bcells"
"cg02585724" "cg02585724" "Bcells"
"cg05720721" "cg05720721" "Bcells"
"cg13423389" "cg13423389" "Bcells"
"cg24998197" "cg24998197" "Bcells"
"cg16280667" "cg16280667" "Bcells"
"cg25268422" "cg25268422" "Bcells"
"cg02376282" "cg02376282" "Bcells"
"cg02092514" "cg02092514" "Bcells"
"cg18050634" "cg18050634" "Bcells"
"cg15823461" "cg15823461" "Bcells"
"cg24777505" "cg24777505" "Bcells"
"cg07194984" "cg07194984" "Bcells"
"cg18576206" "cg18576206" "Bcells"
"cg21596498" "cg21596498" "Bcells"
"cg14078070" "cg14078070" "Bcells"
"cg21554588" "cg21554588" "Bcells"
"cg24517899" "cg24517899" "Bcells"
"cg14579184" "cg14579184" "Bcells"
"cg07652788" "cg07652788" "Bcells"
"cg04819180" "cg04819180" "Bcells"
"cg13823257" "cg13823257" "Bcells"
"cg13880654" "cg13880654" "Bcells"
"cg07015784" "cg07015784" "Bcells"
"cg16295156" "cg16295156" "Bcells"
"cg14997711" "cg14997711" "Bcells"
"cg09523782" "cg09523782" "Bcells"
"cg05480110" "cg05480110" "Bcells"
"cg18250453" "cg18250453" "Bcells"
"cg01758575" "cg01758575" "Bcells"
"cg23645046" "cg23645046" "Bcells"
"cg05978527" "cg05978527" "Bcells"
"cg24426483" "cg24426483" "Bcells"
"cg27175380" "cg27175380" "Bcells"
"cg23531049" "cg23531049" "Bcells"
"cg10694914" "cg10694914" "Bcells"
"cg07609372" "cg07609372" "Bcells"
"cg25469923" "cg25469923" "Bcells"
"cg16302310" "cg16302310" "Bcells"
"cg16876219" "cg16876219" "Bcells"
"cg12427317" "cg12427317" "Bcells"
"cg26160564" "cg26160564" "Bcells"
"cg23730277" "cg23730277" "Bcells"
"cg14220262" "cg14220262" "Bcells"
"cg17304531" "cg17304531" "Bcells"
"cg00162673" "cg00162673" "Bcells"
"cg01715572" "cg01715572" "Bcells"
"cg13125224" "cg13125224" "Bcells"
"cg26574610" "cg26574610" "Bcells"
"cg11193201" "cg11193201" "Bcells"
"cg16397176" "cg16397176" "Bcells"
"cg00042325" "cg00042325" "Bcells"
"cg04545079" "cg04545079" "Bcells"
"cg17582782" "cg17582782" "Bcells"
"cg07979271" "cg07979271" "Bcells"
"cg13400493" "cg13400493" "Bcells"
"cg14646977" "cg14646977" "Bcells"
"cg11898695" "cg11898695" "Bcells"
"cg00730373" "cg00730373" "Bcells"
"cg13712012" "cg13712012" "Bcells"
"cg03238899" "cg03238899" "Bcells"
"cg06521357" "cg06521357" "Bcells"
"cg23948703" "cg23948703" "Bcells"
"cg21144158" "cg21144158" "Bcells"
"cg26810157" "cg26810157" "Bcells"
"cg04593460" "cg04593460" "Bcells"
"cg00760938" "cg00760938" "Bcells"
"cg01445100" "cg01445100" "Bcells"
"cg02087075" "cg02087075" "Bcells"
"cg17768768" "cg17768768" "Bcells"
"cg10443971" "cg10443971" "Bcells"
"cg14936008" "cg14936008" "Bcells"
"cg05138138" "cg05138138" "Bcells"
"cg23683962" "cg23683962" "Bcells"
"cg06323049" "cg06323049" "Bcells"
"cg00227665" "cg00227665" "Bcells"
"cg26331247" "cg26331247" "Bcells"
"cg26795340" "cg26795340" "Bcells"
"cg21170085" "cg21170085" "Bcells"
"cg02393092" "cg02393092" "Bcells"
"cg23237276" "cg23237276" "Bcells"
"cg14503981" "cg14503981" "Bcells"
"cg00104562" "cg00104562" "Bcells"
"cg04440811" "cg04440811" "Bcells"
"cg07841371" "cg07841371" "Bcells"
"cg15241519" "cg15241519" "Bcells"
"cg15822328" "cg15822328" "Bcells"
"cg05931054" "cg05931054" "Bcells"
"cg02014217" "cg02014217" "Bcells"
"cg01787559" "cg01787559" "Bcells"
"cg24361265" "cg24361265" "Bcells"
"cg13765961" "cg13765961" "Bcells"
"cg06804344" "cg06804344" "Bcells"
"cg04324917" "cg04324917" "Bcells"
"cg25112590" "cg25112590" "Bcells"
"cg00347863" "cg00347863" "Bcells"
"cg00464927" "cg00464927" "Bcells"
"cg02231590" "cg02231590" "Bcells"
"cg16266809" "cg16266809" "Bcells"
"cg00517080" "cg00517080" "Bcells"
"cg07768103" "cg07768103" "Bcells"
"cg01418951" "cg01418951" "Bcells"
"cg16962557" "cg16962557" "Bcells"
"cg25134567" "cg25134567" "Bcells"
"cg02896872" "cg02896872" "Bcells"
"cg07441944" "cg07441944" "Bcells"
"cg21248060" "cg21248060" "Bcells"
"cg02539402" "cg02539402" "Bcells"
"cg01719223" "cg01719223" "Bcells"
"cg09432758" "cg09432758" "Bcells"
"cg21373806" "cg21373806" "Bcells"
"cg19905757" "cg19905757" "Bcells"
"cg24466100" "cg24466100" "Bcells"
"cg03969079" "cg03969079" "Bcells"
"cg04828493" "cg04828493" "Bcells"
"cg13364558" "cg13364558" "Bcells"
"cg26703511" "cg26703511" "Bcells"
"cg03382805" "cg03382805" "Bcells"
"cg15235922" "cg15235922" "Bcells"
"cg16411445" "cg16411445" "Bcells"
"cg07900444" "cg07900444" "Bcells"
"cg19396666" "cg19396666" "Bcells"
"cg09201499" "cg09201499" "Bcells"
"cg10329928" "cg10329928" "Bcells"
"cg05856556" "cg05856556" "Bcells"
"cg17477946" "cg17477946" "Bcells"
"cg13915752" "cg13915752" "Bcells"
"cg08732805" "cg08732805" "Bcells"
"cg23019125" "cg23019125" "Bcells"
"cg14631438" "cg14631438" "Bcells"
"cg20018425" "cg20018425" "Bcells"
"cg04220930" "cg04220930" "Bcells"
"cg20680802" "cg20680802" "Bcells"
"cg06567596" "cg06567596" "Bcells"
"cg13910860" "cg13910860" "Bcells"
"cg24940706" "cg24940706" "Bcells"
"cg27224881" "cg27224881" "Bcells"
"cg08243465" "cg08243465" "Bcells"
"cg18764008" "cg18764008" "Bcells"
"cg14066207" "cg14066207" "Bcells"
"cg09698826" "cg09698826" "Bcells"
"cg04625873" "cg04625873" "Bcells"
"cg03786808" "cg03786808" "Bcells"
"cg00682125" "cg00682125" "Bcells"
"cg11256132" "cg11256132" "Bcells"
"cg26406292" "cg26406292" "Bcells"
"cg06091647" "cg06091647" "Bcells"
"cg27090678" "cg27090678" "Bcells"
"cg23202468" "cg23202468" "Bcells"
"cg02892755" "cg02892755" "Bcells"
"cg23344706" "cg23344706" "Bcells"
"cg20946504" "cg20946504" "Bcells"
"cg21197594" "cg21197594" "Bcells"
"cg16654610" "cg16654610" "Bcells"
"cg22256853" "cg22256853" "Bcells"
"cg01117384" "cg01117384" "Bcells"
"cg11758283" "cg11758283" "Bcells"
"cg20754708" "cg20754708" "Bcells"
"cg19260718" "cg19260718" "Bcells"
"cg22045055" "cg22045055" "Bcells"
"cg11858499" "cg11858499" "Bcells"
"cg11661493" "cg11661493" "Bcells"
"cg24462247" "cg24462247" "Bcells"
"cg11199827" "cg11199827" "Bcells"
"cg10067737" "cg10067737" "Bcells"
"cg04987734" "cg04987734" "Bcells"
"cg19519593" "cg19519593" "Bcells"
"cg19463199" "cg19463199" "Bcells"
"cg26991761" "cg26991761" "Bcells"
"cg27246453" "cg27246453" "Bcells"
"cg15730481" "cg15730481" "Bcells"
"cg01024458" "cg01024458" "Bcells"
"cg05024762" "cg05024762" "Bcells"
"cg21049825" "cg21049825" "Bcells"
"cg04949429" "cg04949429" "Bcells"
"cg15367000" "cg15367000" "Bcells"
"cg12807237" "cg12807237" "Bcells"
"cg14905514" "cg14905514" "Bcells"
"cg03302822" "cg03302822" "Bcells"
"cg03736062" "cg03736062" "Bcells"
"cg04787728" "cg04787728" "Bcells"
"cg06336230" "cg06336230" "Bcells"
"cg04668137" "cg04668137" "Bcells"
"cg21997986" "cg21997986" "Bcells"
"cg10243322" "cg10243322" "Bcells"
"cg14507658" "cg14507658" "Bcells"
"cg27618318" "cg27618318" "Bcells"
"cg10386431" "cg10386431" "Bcells"
"cg26894079" "cg26894079" "Bcells"
"cg20743720" "cg20743720" "Bcells"
"cg02723774" "cg02723774" "Bcells"
"cg14151976" "cg14151976" "Bcells"
"cg11021317" "cg11021317" "Bcells"
"cg23934477" "cg23934477" "Bcells"
"cg02122920" "cg02122920" "Bcells"
"cg04765929" "cg04765929" "Bcells"
"cg15121304" "cg15121304" "Bcells"
"cg08139729" "cg08139729" "Bcells"
"cg21890551" "cg21890551" "Bcells"
"cg18933943" "cg18933943" "Bcells"
"cg03922146" "cg03922146" "Bcells"
"cg26249168" "cg26249168" "Bcells"
"cg15644639" "cg15644639" "Bcells"
"cg02525637" "cg02525637" "Bcells"
"cg22285621" "cg22285621" "Bcells"
"cg22905350" "cg22905350" "Bcells"
"cg02452500" "cg02452500" "Bcells"
"cg14317609" "cg14317609" "Bcells"
"cg27236007" "cg27236007" "Bcells"
"cg03730622" "cg03730622" "Bcells"
"cg09426937" "cg09426937" "Bcells"
"cg03048432" "cg03048432" "Bcells"
"cg18749990" "cg18749990" "Bcells"
"cg24189745" "cg24189745" "Bcells"
"cg08474826" "cg08474826" "Bcells"
"cg02904996" "cg02904996" "Bcells"
"cg22706424" "cg22706424" "Bcells"
"cg12604490" "cg12604490" "Bcells"
"cg22868961" "cg22868961" "Bcells"
"cg20100745" "cg20100745" "Bcells"
"cg13103051" "cg13103051" "Bcells"
"cg25315312" "cg25315312" "Bcells"
"cg04522671" "cg04522671" "Bcells"
"cg04838847" "cg04838847" "Bcells"
"cg12964697" "cg12964697" "Bcells"
"cg26426437" "cg26426437" "Bcells"
"cg22043118" "cg22043118" "Bcells"
"cg14486477" "cg14486477" "Bcells"
"cg16695253" "cg16695253" "Bcells"
"cg14275281" "cg14275281" "Bcells"
"cg16079645" "cg16079645" "Bcells"
"cg02582213" "cg02582213" "Bcells"
"cg03337918" "cg03337918" "Bcells"
"cg20908276" "cg20908276" "Bcells"
"cg24065957" "cg24065957" "Bcells"
"cg00476653" "cg00476653" "Bcells"
"cg22707397" "cg22707397" "Bcells"
"cg19038462" "cg19038462" "Bcells"
"cg07102001" "cg07102001" "Bcells"
"cg07367607" "cg07367607" "Bcells"
"cg24853871" "cg24853871" "Bcells"
"cg10883421" "cg10883421" "Bcells"
"cg26615224" "cg26615224" "Bcells"
"cg13782919" "cg13782919" "Bcells"
"cg18445438" "cg18445438" "Bcells"
"cg11479568" "cg11479568" "Bcells"
"cg18169610" "cg18169610" "Bcells"
"cg25314733" "cg25314733" "Bcells"
"cg18406852" "cg18406852" "Bcells"
"cg12506121" "cg12506121" "Bcells"
"cg10278046" "cg10278046" "Bcells"
"cg19024599" "cg19024599" "Bcells"
"cg27436324" "cg27436324" "Bcells"
"cg05938409" "cg05938409" "Bcells"
"cg20770504" "cg20770504" "Bcells"
"cg08057432" "cg08057432" "Bcells"
"cg03318573" "cg03318573" "Bcells"
"cg19016062" "cg19016062" "Bcells"
"cg14405813" "cg14405813" "Bcells"
"cg13418576" "cg13418576" "Bcells"
"cg21474955" "cg21474955" "Bcells"
"cg16661609" "cg16661609" "Bcells"
"cg04091927" "cg04091927" "Bcells"
"cg20943999" "cg20943999" "Bcells"
"cg00030423" "cg00030423" "Bcells"
"cg27141509" "cg27141509" "Bcells"
"cg07813851" "cg07813851" "Bcells"
"cg27383859" "cg27383859" "Bcells"
"cg08897688" "cg08897688" "Bcells"
"cg16804948" "cg16804948" "Bcells"
"cg14467066" "cg14467066" "Bcells"
"cg22466678" "cg22466678" "Bcells"
"cg07493874" "cg07493874" "Bcells"
"cg12938556" "cg12938556" "Bcells"
"cg12111432" "cg12111432" "Bcells"
"cg12087432" "cg12087432" "Bcells"
"cg16372051" "cg16372051" "Bcells"
"cg26510178" "cg26510178" "Bcells"
"cg05849013" "cg05849013" "Bcells"
"cg12002047" "cg12002047" "Bcells"
"cg21329649" "cg21329649" "Bcells"
"cg27009704" "cg27009704" "Bcells"
"cg03477476" "cg03477476" "Bcells"
"cg25236277" "cg25236277" "Bcells"
"cg16586807" "cg16586807" "Bcells"
"cg18664915" "cg18664915" "Bcells"
"cg11774624" "cg11774624" "Bcells"
"cg13979873" "cg13979873" "Bcells"
"cg13688202" "cg13688202" "Bcells"
"cg20278154" "cg20278154" "Bcells"
"cg00900735" "cg00900735" "Bcells"
"cg27505349" "cg27505349" "Bcells"
"cg20604028" "cg20604028" "Bcells"
"cg14279856" "cg14279856" "Bcells"
"cg09967479" "cg09967479" "Bcells"
"cg26382697" "cg26382697" "Bcells"
"cg03087880" "cg03087880" "Bcells"
"cg14060402" "cg14060402" "Bcells"
"cg01810575" "cg01810575" "Bcells"
"cg02478409" "cg02478409" "Bcells"
"cg03805566" "cg03805566" "Bcells"
"cg10052687" "cg10052687" "Bcells"
"cg16194437" "cg16194437" "Bcells"
"cg10824972" "cg10824972" "Bcells"
"cg14127336" "cg14127336" "Bcells"
"cg04947949" "cg04947949" "Bcells"
"cg15532942" "cg15532942" "Bcells"
"cg01702009" "cg01702009" "Bcells"
"cg16085171" "cg16085171" "Bcells"
"cg00770471" "cg00770471" "Bcells"
"cg12117227" "cg12117227" "Bcells"
"cg21143086" "cg21143086" "Bcells"
"cg01199327" "cg01199327" "Bcells"
"cg11447573" "cg11447573" "Bcells"
"cg22558673" "cg22558673" "Bcells"
"cg03646740" "cg03646740" "Bcells"
"cg17266282" "cg17266282" "Bcells"
"cg19277389" "cg19277389" "Bcells"
"cg06611532" "cg06611532" "Bcells"
"cg06423975" "cg06423975" "Bcells"
"cg00762029" "cg00762029" "Bcells"
"cg19480385" "cg19480385" "Bcells"
"cg21157725" "cg21157725" "Bcells"
"cg06770731" "cg06770731" "Bcells"
"cg17633015" "cg17633015" "Bcells"
"cg25133951" "cg25133951" "Bcells"
"cg15188939" "cg15188939" "Bcells"
"cg26053795" "cg26053795" "Bcells"
"cg22930549" "cg22930549" "Bcells"
"cg25290779" "cg25290779" "Bcells"
"cg01598421" "cg01598421" "Bcells"
"cg16422365" "cg16422365" "Bcells"
"cg14102807" "cg14102807" "Bcells"
"cg20943353" "cg20943353" "Bcells"
"cg09540738" "cg09540738" "Bcells"
"cg01453814" "cg01453814" "Bcells"
"cg19442480" "cg19442480" "Bcells"
"cg14344261" "cg14344261" "Bcells"
"cg12453504" "cg12453504" "Bcells"
"cg26367031" "cg26367031" "Bcells"
"cg05905124" "cg05905124" "Bcells"
"cg23717290" "cg23717290" "Bcells"
"cg07877964" "cg07877964" "Bcells"
"cg02051688" "cg02051688" "Bcells"
"cg12032915" "cg12032915" "Bcells"
"cg18701685" "cg18701685" "Bcells"
"cg19708055" "cg19708055" "Bcells"
"cg04781796" "cg04781796" "Bcells"
"cg06966462" "cg06966462" "Bcells"
"cg17333291" "cg17333291" "Bcells"
"cg09021012" "cg09021012" "Bcells"
"cg26384465" "cg26384465" "Bcells"
"cg01493678" "cg01493678" "Bcells"
"cg16200116" "cg16200116" "Bcells"
"cg04352288" "cg04352288" "Bcells"
"cg07211476" "cg07211476" "Bcells"
"cg05783134" "cg05783134" "Bcells"
"cg06361405" "cg06361405" "Bcells"
"cg06895218" "cg06895218" "Bcells"
"cg20043258" "cg20043258" "Bcells"
"cg18132256" "cg18132256" "Bcells"
"cg18967835" "cg18967835" "Bcells"
"cg12208691" "cg12208691" "Bcells"
"cg02042156" "cg02042156" "Bcells"
"cg18814227" "cg18814227" "Bcells"
"cg04346861" "cg04346861" "Bcells"
"cg03261800" "cg03261800" "Bcells"
"cg13738327" "cg13738327" "Bcells"
"cg20976977" "cg20976977" "Bcells"
"cg02368706" "cg02368706" "Bcells"
"cg14733637" "cg14733637" "Bcells"
"cg06596955" "cg06596955" "Bcells"
"cg02156723" "cg02156723" "Bcells"
"cg02329767" "cg02329767" "Bcells"
"cg22340807" "cg22340807" "Bcells"
"cg01012295" "cg01012295" "Bcells"
"cg15525859" "cg15525859" "Bcells"
"cg18148156" "cg18148156" "Bcells"
"cg21097090" "cg21097090" "Bcells"
"cg17930505" "cg17930505" "Bcells"
"cg26579578" "cg26579578" "Bcells"
"cg27416848" "cg27416848" "Bcells"
"cg23017002" "cg23017002" "Bcells"
"cg24299136" "cg24299136" "Bcells"
"cg13751548" "cg13751548" "Bcells"
"cg02213045" "cg02213045" "Bcells"
"cg19488149" "cg19488149" "Bcells"
"cg16296829" "cg16296829" "Bcells"
"cg18311341" "cg18311341" "Bcells"
"cg06881965" "cg06881965" "Bcells"
"cg21531416" "cg21531416" "Bcells"
"cg23303108" "cg23303108" "Bcells"
"cg06722639" "cg06722639" "Bcells"
"cg01116491" "cg01116491" "Bcells"
"cg09129334" "cg09129334" "Bcells"
"cg15674899" "cg15674899" "Bcells"
"cg19931733" "cg19931733" "Bcells"
"cg07710833" "cg07710833" "Bcells"
"cg21720802" "cg21720802" "Bcells"
"cg27014538" "cg27014538" "Bcells"
"cg19573599" "cg19573599" "Bcells"
"cg17076635" "cg17076635" "Bcells"
"cg08961187" "cg08961187" "Bcells"
"cg26438284" "cg26438284" "Bcells"
"cg03717570" "cg03717570" "Bcells"
"cg20452738" "cg20452738" "Bcells"
"cg10287321" "cg10287321" "Bcells"
"cg03689458" "cg03689458" "Bcells"
"cg13958749" "cg13958749" "Bcells"
"cg10765387" "cg10765387" "Bcells"
"cg24278165" "cg24278165" "Bcells"
"cg08761324" "cg08761324" "Bcells"
"cg22446709" "cg22446709" "Bcells"
"cg22697239" "cg22697239" "Bcells"
"cg24091162" "cg24091162" "Bcells"
"cg07534892" "cg07534892" "Bcells"
"cg14779735" "cg14779735" "Bcells"
"cg19867649" "cg19867649" "Bcells"
"cg04945388" "cg04945388" "Bcells"
"cg03562952" "cg03562952" "Bcells"
"cg26692003" "cg26692003" "Bcells"
"cg06943385" "cg06943385" "Bcells"
"cg08662757" "cg08662757" "Bcells"
"cg00509772" "cg00509772" "Bcells"
"cg08098128" "cg08098128" "Bcells"
"cg16308790" "cg16308790" "Bcells"
"cg22674699" "cg22674699" "Bcells"
"cg02895588" "cg02895588" "Bcells"
"cg10311020" "cg10311020" "Bcells"
"cg03339817" "cg03339817" "Bcells"
"cg00449482" "cg00449482" "Bcells"
"cg22372096" "cg22372096" "Bcells"
"cg01666796" "cg01666796" "Bcells"
"cg15533809" "cg15533809" "Bcells"
"cg25812095" "cg25812095" "Bcells"
"cg12975230" "cg12975230" "Bcells"
"cg22826986" "cg22826986" "Bcells"
"cg27653384" "cg27653384" "CD4Tcells"
"cg14133945" "cg14133945" "CD4Tcells"
"cg02661764" "cg02661764" "CD4Tcells"
"cg06226386" "cg06226386" "CD4Tcells"
"cg10837404" "cg10837404" "CD4Tcells"
"cg23845806" "cg23845806" "CD4Tcells"
"cg16100555" "cg16100555" "CD4Tcells"
"cg15924868" "cg15924868" "CD4Tcells"
"cg23723835" "cg23723835" "CD4Tcells"
"cg14477767" "cg14477767" "CD4Tcells"
"cg18831738" "cg18831738" "CD4Tcells"
"cg02516257" "cg02516257" "CD4Tcells"
"cg21546874" "cg21546874" "CD4Tcells"
"cg22431433" "cg22431433" "CD4Tcells"
"cg16208106" "cg16208106" "CD4Tcells"
"cg18827738" "cg18827738" "CD4Tcells"
"cg20707666" "cg20707666" "CD4Tcells"
"cg08172536" "cg08172536" "CD4Tcells"
"cg20613337" "cg20613337" "CD4Tcells"
"cg20197358" "cg20197358" "CD4Tcells"
"cg00066499" "cg00066499" "CD4Tcells"
"cg25543316" "cg25543316" "CD4Tcells"
"cg17610734" "cg17610734" "CD4Tcells"
"cg07876450" "cg07876450" "CD4Tcells"
"cg24885442" "cg24885442" "CD4Tcells"
"cg20042612" "cg20042612" "CD4Tcells"
"cg19529732" "cg19529732" "CD8Tcells"
"cg25939861" "cg25939861" "CD8Tcells"
"cg07786657" "cg07786657" "CD8Tcells"
"cg05106502" "cg05106502" "CD8Tcells"
"cg03196485" "cg03196485" "CD8Tcells"
"cg05799811" "cg05799811" "CD8Tcells"
"cg10977115" "cg10977115" "CD8Tcells"
"cg13603599" "cg13603599" "CD8Tcells"
"cg15085899" "cg15085899" "CD8Tcells"
"cg27027055" "cg27027055" "CD8Tcells"
"cg15487992" "cg15487992" "CD8Tcells"
"cg17093362" "cg17093362" "CD8Tcells"
"cg16652347" "cg16652347" "CD8Tcells"
"cg12743031" "cg12743031" "CD8Tcells"
"cg27304729" "cg27304729" "CD8Tcells"
"cg09032544" "cg09032544" "CD8Tcells"
"cg01519464" "cg01519464" "CD8Tcells"
"cg11874976" "cg11874976" "CD8Tcells"
"cg00219921" "cg00219921" "CD8Tcells"
"cg16888658" "cg16888658" "CD8Tcells"
"cg10560079" "cg10560079" "CD8Tcells"
"cg24009529" "cg24009529" "CD8Tcells"
"cg01002223" "cg01002223" "CD8Tcells"
"cg09830866" "cg09830866" "CD8Tcells"
"cg21159568" "cg21159568" "CD8Tcells"
"cg25554283" "cg25554283" "CD8Tcells"
"cg06931356" "cg06931356" "Dura"
"cg16724720" "cg16724720" "Dura"
"cg09501717" "cg09501717" "Dura"
"cg05257086" "cg05257086" "Dura"
"cg01100951" "cg01100951" "Dura"
"cg13423054" "cg13423054" "Dura"
"cg04869122" "cg04869122" "Dura"
"cg03436967" "cg03436967" "Dura"
"cg26945392" "cg26945392" "Dura"
"cg03386869" "cg03386869" "Dura"
"cg19130824" "cg19130824" "Dura"
"cg10435609" "cg10435609" "Dura"
"cg10164367" "cg10164367" "Dura"
"cg14646613" "cg14646613" "Dura"
"cg21207450" "cg21207450" "Dura"
"cg08755784" "cg08755784" "Dura"
"cg01085125" "cg01085125" "Dura"
"cg02334722" "cg02334722" "Dura"
"cg20699274" "cg20699274" "Dura"
"cg05689208" "cg05689208" "Dura"
"cg23508201" "cg23508201" "Dura"
"cg26130669" "cg26130669" "Dura"
"cg23068797" "cg23068797" "Dura"
"cg15512289" "cg15512289" "Dura"
"cg25735490" "cg25735490" "Dura"
"cg05644602" "cg05644602" "Dura"
"cg14832352" "cg14832352" "Dura"
"cg08804626" "cg08804626" "Dura"
"cg24199384" "cg24199384" "Dura"
"cg07652189" "cg07652189" "Dura"
"cg22899000" "cg22899000" "Dura"
"cg00380780" "cg00380780" "Dura"
"cg20546777" "cg20546777" "Dura"
"cg16667631" "cg16667631" "Dura"
"cg14685946" "cg14685946" "Dura"
"cg27109912" "cg27109912" "Dura"
"cg04285666" "cg04285666" "Dura"
"cg27648270" "cg27648270" "Dura"
"cg11907323" "cg11907323" "Dura"
"cg23902076" "cg23902076" "Dura"
"cg23055217" "cg23055217" "Dura"
"cg00439089" "cg00439089" "Dura"
"cg22663389" "cg22663389" "Dura"
"cg02660440" "cg02660440" "Dura"
"cg18196709" "cg18196709" "Dura"
"cg00652846" "cg00652846" "Dura"
"cg08198071" "cg08198071" "Dura"
"cg05302100" "cg05302100" "Dura"
"cg04922320" "cg04922320" "Dura"
"cg22488891" "cg22488891" "Dura"
"cg02907064" "cg02907064" "Dura"
"cg21347347" "cg21347347" "Dura"
"cg00974944" "cg00974944" "Dura"
"cg06581409" "cg06581409" "Dura"
"cg13724550" "cg13724550" "Dura"
"cg14280382" "cg14280382" "Dura"
"cg18544365" "cg18544365" "Dura"
"cg04402575" "cg04402575" "Dura"
"cg03137071" "cg03137071" "Dura"
"cg10520790" "cg10520790" "Dura"
"cg01005180" "cg01005180" "Dura"
"cg26330809" "cg26330809" "Dura"
"cg02427576" "cg02427576" "Dura"
"cg16240781" "cg16240781" "Dura"
"cg27187541" "cg27187541" "Dura"
"cg06357685" "cg06357685" "Dura"
"cg16479476" "cg16479476" "Dura"
"cg20147233" "cg20147233" "Dura"
"cg15783800" "cg15783800" "Dura"
"cg05399036" "cg05399036" "Dura"
"cg04914221" "cg04914221" "Dura"
"cg04503968" "cg04503968" "Dura"
"cg27224791" "cg27224791" "Dura"
"cg07982740" "cg07982740" "Dura"
"cg03216043" "cg03216043" "Dura"
"cg02300584" "cg02300584" "Dura"
"cg05785932" "cg05785932" "Dura"
"cg16398133" "cg16398133" "Dura"
"cg04510459" "cg04510459" "Dura"
"cg00802386" "cg00802386" "Dura"
"cg11539857" "cg11539857" "Dura"
"cg21808635" "cg21808635" "Dura"
"cg01542423" "cg01542423" "Dura"
"cg16394305" "cg16394305" "Dura"
"cg25557306" "cg25557306" "Dura"
"cg11615029" "cg11615029" "Dura"
"cg23623251" "cg23623251" "Dura"
"cg11149163" "cg11149163" "Dura"
"cg01101472" "cg01101472" "Dura"
"cg09260048" "cg09260048" "Dura"
